Airline_0,Airline_1,Airline_2,Airline_3,Source_0,Source_1,Source_2,Destination_0,Destination_1,Destination_2,Price,journey_day,journey_month,day_of_week,dep_hour,arrival_hour,duration_minutes,total_stops_num
0,1,0,1,0,1,1,0,1,1,8073,6,5,0,19,1,390,1
0,1,1,1,1,0,1,1,1,0,12395,6,3,2,15,16,1505,1
0,0,1,0,0,1,0,0,1,0,8366,6,6,3,9,21,745,1
0,0,1,0,0,1,1,0,1,1,5117,3,4,2,6,9,1640,1
0,1,0,1,0,1,1,0,1,1,12524,3,6,0,8,19,615,1
0,0,0,1,0,1,1,0,1,1,7191,15,5,2,15,1,630,1
0,1,1,1,1,0,0,1,0,0,3687,24,5,4,7,9,135,0
0,0,0,1,0,1,1,0,1,1,5894,24,6,0,10,21,625,1
0,1,1,1,0,0,1,1,0,1,5403,24,4,2,9,12,170,0
0,0,1,0,1,0,1,1,1,0,3625,6,5,0,13,15,90,0
0,0,1,0,0,1,1,0,1,1,10861,21,5,1,5,19,800,2
0,0,0,1,1,0,0,1,0,0,6297,12,3,1,13,15,135,0
0,0,1,1,1,0,1,1,1,0,5678,1,6,5,7,8,85,0
0,0,1,1,0,0,1,0,0,1,9134,9,3,5,5,8,1590,1
0,1,0,1,0,1,1,0,1,1,10791,24,6,0,11,19,440,1
0,0,1,1,0,1,1,0,1,1,12819,24,6,0,23,12,810,2
0,0,0,1,0,1,1,0,1,1,6893,21,3,3,5,10,300,1
0,1,1,1,0,0,1,0,0,1,7240,9,3,5,9,12,165,0
0,1,1,0,0,0,1,1,0,1,3898,3,4,2,11,14,170,0
0,0,0,1,1,0,1,1,1,0,4049,3,4,2,6,7,90,0
0,0,1,1,0,1,1,0,1,1,10262,15,6,5,17,12,1145,1
0,1,0,0,1,0,0,1,0,0,3332,21,3,3,8,10,135,0
0,0,1,1,0,1,0,0,1,0,10844,9,6,6,21,12,890,1
0,0,1,1,0,0,1,0,0,1,7229,24,3,6,19,22,160,0
0,0,1,1,0,1,0,0,1,0,13941,6,5,0,6,4,1330,1
0,0,0,1,0,1,1,0,1,1,5894,27,6,3,11,21,575,1
0,1,0,1,0,1,1,0,1,1,10197,18,5,5,9,19,600,1
0,0,1,1,0,0,1,0,0,1,13712,6,3,2,14,11,1280,1
0,0,0,1,0,1,1,0,1,1,5636,24,6,0,2,7,325,1
0,0,1,1,0,1,1,0,1,1,13014,6,6,3,9,4,1125,2
0,0,1,1,0,1,0,0,1,0,7064,1,4,0,8,20,740,1
0,0,1,1,0,1,0,0,1,0,10703,24,5,4,20,14,1080,1
0,1,0,1,0,1,1,0,1,1,9646,27,5,0,13,22,555,1
0,1,0,1,0,1,1,0,1,1,17057,6,3,2,2,13,665,1
0,0,1,1,0,0,1,0,0,1,13817,12,3,1,16,10,1050,1
0,0,1,0,0,1,1,0,1,1,13748,6,3,2,5,19,800,2
0,0,1,0,0,1,0,0,1,0,4880,21,4,6,20,23,155,0
0,0,0,1,1,0,0,1,0,0,3540,21,6,4,5,7,145,0
0,1,0,0,0,0,1,1,0,1,3257,15,5,2,5,8,160,0
0,0,1,1,0,0,1,1,0,1,6478,3,6,0,19,22,180,0
0,0,1,1,1,0,1,1,1,0,8040,18,6,1,7,8,85,0
0,0,1,1,0,1,1,0,1,1,14300,12,6,2,20,12,995,2
0,0,1,1,0,1,0,0,1,0,14781,15,5,2,8,20,740,1
0,0,1,1,0,1,0,0,1,0,14939,9,6,6,20,8,735,1
0,0,1,1,0,1,1,0,1,1,10262,24,6,0,20,4,450,1
0,0,1,0,0,1,0,0,1,0,6528,12,5,6,14,14,1440,1
0,0,1,0,0,0,1,1,0,1,6121,1,5,2,6,8,165,0
0,0,1,1,0,1,1,0,1,1,13029,18,5,5,19,4,535,2
0,1,0,1,0,1,1,0,1,1,11421,27,3,2,11,18,430,1
0,1,0,1,0,1,1,0,1,1,7574,27,3,2,4,19,870,1
0,0,1,0,0,1,1,0,1,1,11596,9,5,3,12,19,1820,2
0,0,1,1,0,1,1,0,1,1,15129,24,5,4,23,19,1195,2
0,0,1,1,0,0,1,0,0,1,13555,18,3,0,14,5,900,1
0,0,0,1,0,0,1,1,0,1,5780,12,4,4,18,21,175,0
0,1,1,1,0,1,0,0,1,0,9397,12,5,6,20,9,765,1
0,0,1,1,0,1,1,0,1,1,17024,6,3,2,18,4,610,1
0,1,1,0,0,1,1,0,1,1,5281,27,6,3,7,12,355,1
0,1,0,1,0,1,1,0,1,1,10348,18,5,5,7,22,925,1
0,0,1,0,0,1,1,0,1,1,12677,6,3,2,17,9,965,1
0,1,0,1,0,1,1,0,1,1,15147,3,3,6,15,1,610,1
0,1,1,1,0,0,1,1,0,1,4668,12,6,2,7,9,160,0
0,0,1,1,0,1,1,0,1,1,15554,9,5,3,7,19,715,1
0,1,0,0,0,0,1,1,0,1,3971,9,4,1,5,8,160,0
0,0,1,0,1,0,1,1,1,0,3100,3,5,4,15,16,85,0
0,0,1,1,0,1,0,0,1,0,9663,6,5,0,20,10,845,1
0,0,1,0,0,1,1,0,1,1,27430,1,3,4,23,19,1215,1
0,0,0,1,1,0,0,1,0,0,3540,12,5,6,5,7,145,0
0,0,1,0,0,1,0,0,1,0,10676,21,5,1,12,11,1390,2
0,0,1,1,0,1,0,0,1,0,13044,12,6,2,14,8,1090,1
0,0,1,1,0,1,0,0,1,0,14388,6,5,0,20,12,960,1
0,0,0,1,0,0,1,1,0,1,3943,24,6,0,4,6,170,0
0,0,0,1,1,0,0,1,0,0,3597,3,6,0,14,17,140,0
0,0,1,0,0,0,1,0,0,1,5932,21,3,3,11,19,480,1
0,0,1,1,0,1,1,0,1,1,10262,15,6,5,11,4,1015,1
0,1,1,1,0,1,1,0,1,1,6216,12,5,6,14,17,190,0
0,0,0,1,0,1,0,0,1,0,4804,15,6,5,20,23,165,0
0,1,0,1,0,1,1,0,1,1,14067,21,5,1,11,1,840,1
0,0,1,1,0,1,1,0,1,1,15129,18,5,5,19,19,1430,2
0,0,1,1,0,1,1,0,1,1,13376,6,6,3,6,4,1300,2
0,0,1,0,0,1,1,0,1,1,10441,27,6,3,22,19,1275,2
0,0,1,1,0,0,1,1,0,1,4030,24,5,4,6,8,165,0
0,0,1,1,0,1,1,0,1,1,17024,3,3,6,8,18,650,1
0,1,0,1,0,1,1,0,1,1,13017,9,4,1,17,1,480,1
0,1,1,0,0,1,0,0,1,0,6686,6,6,3,23,7,495,1
0,0,0,1,0,1,1,0,1,1,5636,15,6,5,2,7,325,1
0,0,0,1,0,1,1,0,1,1,6442,9,6,6,7,16,515,1
0,1,0,1,0,1,1,0,1,1,9486,21,5,1,13,0,710,1
0,0,1,1,0,1,0,0,1,0,10844,21,5,1,20,23,1655,1
0,0,1,1,0,1,1,0,1,1,15318,3,6,0,20,4,505,2
0,0,1,0,0,1,1,0,1,1,5117,3,4,2,12,9,1255,1
0,0,0,1,0,1,1,0,1,1,6147,24,6,0,15,20,290,1
0,1,0,1,0,1,1,0,1,1,7005,9,6,6,12,21,490,1
0,1,0,0,0,1,0,0,1,0,3873,3,4,2,22,0,140,0
0,0,1,1,0,1,1,0,1,1,9270,21,3,3,18,18,1465,2
0,1,1,0,0,0,1,1,0,1,3898,27,6,3,11,14,170,0
0,0,1,1,0,1,0,0,1,0,14781,12,5,6,8,20,740,1
0,0,1,1,0,1,0,0,1,0,8586,24,5,4,20,8,735,1
0,0,1,0,0,1,0,0,1,0,10697,9,5,3,8,7,1415,2
0,0,1,1,0,1,1,0,1,1,14300,27,6,3,20,12,995,2
0,0,0,1,0,0,1,0,0,1,8855,3,3,6,18,21,170,0
0,0,1,1,0,1,0,0,1,0,10844,12,5,6,16,18,1545,1
0,0,1,1,0,1,1,0,1,1,17024,6,3,2,2,4,1570,1
0,0,1,1,0,1,0,0,1,0,9314,1,5,2,9,14,1730,1
0,0,0,1,0,0,1,0,0,1,4777,24,3,6,0,3,165,0
0,0,1,0,0,1,0,0,1,0,7662,9,6,6,12,13,1515,1
0,0,0,1,0,1,1,0,1,1,6442,9,5,3,6,16,560,1
0,1,0,0,0,1,1,0,1,1,5264,12,6,2,8,13,270,1
0,0,1,1,0,1,1,0,1,1,12898,27,5,0,13,4,925,1
0,0,1,0,1,0,1,1,1,0,6092,3,3,6,13,15,90,0
0,1,0,0,0,0,1,1,0,1,3311,21,5,1,5,8,160,0
0,0,1,1,0,1,1,0,1,1,6540,27,3,2,19,4,550,1
0,0,0,1,0,0,1,1,0,1,3419,27,5,0,1,4,165,0
0,0,1,1,0,1,1,0,1,1,5177,3,4,2,14,12,1355,1
0,0,1,0,0,1,1,0,1,1,8246,18,4,3,18,21,185,0
0,0,1,1,0,1,0,0,1,0,14676,9,6,6,9,21,690,1
0,1,0,1,0,1,1,0,1,1,13587,27,6,3,11,21,570,1
0,0,1,1,0,1,0,0,1,0,9663,6,5,0,21,9,730,1
0,0,1,1,0,1,0,0,1,0,13044,12,6,2,16,10,1055,1
0,0,0,1,0,1,1,0,1,1,5073,3,4,2,20,1,305,1
0,1,1,1,0,1,0,0,1,0,9345,21,5,1,17,18,1550,1
0,0,1,1,0,1,0,0,1,0,9663,6,5,0,14,10,1200,1
0,1,0,1,0,1,1,0,1,1,14277,21,5,1,8,21,780,1
0,0,1,1,0,1,1,0,1,1,10262,1,6,5,10,4,1105,1
0,0,1,1,1,0,1,1,1,0,5678,27,3,2,19,21,90,0
0,1,0,1,0,1,1,0,1,1,13727,15,5,2,16,1,570,1
0,0,1,1,0,1,0,0,1,0,9663,6,5,0,20,12,960,1
0,0,0,1,1,0,0,1,0,0,3858,12,5,6,14,17,140,0
0,1,0,0,0,1,1,0,1,1,4812,24,6,0,8,13,270,1
0,0,0,1,0,1,1,0,1,1,5775,27,6,3,21,3,345,1
0,0,1,1,0,1,0,0,1,0,10539,6,6,3,9,9,1450,1
0,0,0,1,0,1,0,0,1,0,4804,3,6,0,15,18,155,0
1,0,0,0,0,0,1,1,0,1,3383,12,6,2,11,13,165,0
0,0,0,1,0,0,1,0,0,1,8738,3,3,6,12,17,295,1
0,0,1,0,0,1,1,0,1,1,7165,27,3,2,5,6,1535,1
0,0,0,1,0,1,1,0,1,1,6412,24,6,0,16,22,380,1
0,0,1,1,0,0,1,1,0,1,8016,27,6,3,18,22,185,0
0,0,1,1,0,0,1,0,0,1,11087,12,3,1,20,15,1120,1
0,1,0,0,1,0,0,1,0,0,3543,27,6,3,9,12,135,0
0,0,1,1,0,1,0,0,1,0,12471,12,6,2,16,4,730,1
0,0,1,1,0,1,1,0,1,1,10262,24,6,0,9,4,1165,1
0,0,1,0,0,0,1,0,0,1,4441,18,3,0,13,16,170,0
0,1,0,1,0,1,1,0,1,1,12537,27,3,2,7,15,505,1
0,1,1,0,0,1,0,0,1,0,10091,24,3,6,22,7,555,1
0,0,1,0,0,0,1,1,0,1,6961,3,6,0,21,23,170,0
0,0,0,1,0,1,1,0,1,1,5013,24,4,2,5,8,195,0
0,0,1,0,0,1,1,0,1,1,6934,18,5,5,5,8,170,0
0,1,0,1,0,1,1,0,1,1,10877,3,6,0,6,19,740,1
0,0,1,1,0,0,1,1,0,1,7229,18,4,3,15,18,175,0
0,0,0,1,0,1,1,0,1,1,7048,27,3,2,16,1,575,1
0,1,1,1,0,0,1,1,0,1,4878,27,6,3,17,19,155,0
0,0,1,1,0,1,0,0,1,0,10844,21,5,1,14,23,570,1
0,0,1,1,0,1,1,0,1,1,15129,18,5,5,23,4,1760,2
0,0,0,1,0,0,1,1,0,1,3943,12,5,6,0,3,175,0
0,1,0,0,0,1,1,0,1,1,5583,6,6,3,6,11,315,1
0,1,0,1,0,1,1,0,1,1,9646,6,6,3,7,16,545,1
0,1,0,1,0,1,1,0,1,1,7677,3,6,0,8,19,645,1
0,0,0,1,0,1,1,0,1,1,6842,1,6,5,5,10,295,1
0,0,1,1,1,0,1,1,1,0,4995,24,6,0,8,10,90,0
0,1,1,1,0,1,0,0,1,0,9555,9,6,6,7,18,700,1
0,0,0,1,0,0,1,1,0,1,4077,1,6,5,1,4,165,0
0,0,1,1,0,0,1,1,0,1,7229,12,5,6,15,18,175,0
0,1,0,1,0,1,1,0,1,1,12192,9,6,6,9,19,600,1
0,0,1,0,0,0,1,1,0,1,5911,12,4,4,10,12,165,0
0,0,1,0,0,1,1,0,1,1,8372,12,6,2,9,19,615,1
0,0,1,1,1,0,1,1,1,0,4995,18,3,0,7,8,85,0
0,1,0,1,0,1,1,0,1,1,14323,9,5,3,10,19,555,1
0,0,1,1,0,1,1,0,1,1,13014,9,6,6,5,4,1375,2
0,0,1,0,0,1,1,0,1,1,13591,6,6,3,14,19,1730,2
0,0,1,1,0,1,1,0,1,1,18799,3,3,6,5,18,2245,2
0,0,0,1,0,0,1,1,0,1,3943,27,4,5,23,2,170,0
0,1,0,0,1,0,1,1,1,0,1965,21,5,1,5,7,90,0
0,0,1,1,1,0,1,1,1,0,4995,27,5,0,10,11,90,0
0,0,1,0,0,1,0,0,1,0,14641,24,3,6,16,18,1540,1
0,0,1,0,0,1,0,0,1,0,4460,12,4,4,20,23,155,0
0,0,1,0,0,1,1,0,1,1,10191,18,5,5,13,19,375,1
0,0,1,1,0,1,1,0,1,1,13843,9,3,5,2,19,1050,1
0,0,0,1,0,1,1,0,1,1,6349,1,5,2,21,3,345,1
1,0,0,0,0,1,0,0,1,0,4409,1,5,2,10,12,155,0
0,0,1,1,0,1,1,0,1,1,17024,6,3,2,18,19,1530,1
0,1,0,1,0,1,1,0,1,1,13727,18,5,5,7,21,835,1
0,0,0,1,0,0,1,0,0,1,8855,15,3,4,18,21,175,0
0,1,0,1,0,1,1,0,1,1,12524,24,6,0,8,19,615,1
0,0,1,1,0,0,1,0,0,1,13555,18,3,0,11,20,520,1
0,0,1,1,0,1,0,0,1,0,10844,6,6,3,6,12,330,1
0,1,0,1,0,1,1,0,1,1,13587,9,6,6,9,21,720,1
0,1,0,0,1,0,0,1,0,0,3543,12,6,2,9,12,135,0
0,1,1,1,1,0,0,1,0,0,4842,18,3,0,7,9,135,0
0,0,0,1,0,0,1,1,0,1,3943,24,4,2,23,2,170,0
0,0,1,1,0,1,1,0,1,1,10577,9,6,6,19,4,550,1
0,0,0,1,0,1,1,0,1,1,6979,15,5,2,10,21,625,1
0,1,1,1,1,0,0,1,0,0,11982,27,6,3,17,20,140,0
0,1,0,0,0,1,1,0,1,1,5264,6,6,3,8,13,270,1
0,1,1,1,0,1,1,0,1,1,8001,3,3,6,6,9,190,0
0,0,1,0,0,1,1,0,1,1,10651,1,6,5,19,19,1410,2
0,0,1,1,0,1,0,0,1,0,10844,24,5,4,16,19,1640,1
0,1,0,1,0,1,1,0,1,1,6601,27,3,2,9,22,755,1
0,0,1,0,0,1,1,0,1,1,6587,21,3,3,19,19,1455,1
0,1,0,0,1,0,1,1,1,0,3173,21,3,3,13,14,80,0
0,0,1,0,0,0,1,1,0,1,5228,9,5,3,10,12,165,0
0,0,1,1,0,0,1,1,0,1,5769,21,6,4,7,10,180,0
0,0,1,1,0,1,1,0,1,1,14714,6,6,3,8,19,660,1
0,0,1,1,0,1,1,0,1,1,13014,3,6,0,5,19,810,2
0,0,0,1,0,0,1,1,0,1,3359,3,6,0,22,1,170,0
0,1,1,0,0,0,1,0,0,1,6722,3,3,6,20,23,175,0
0,0,0,1,0,1,0,0,1,0,4462,18,3,0,9,12,165,0
0,0,0,1,0,1,1,0,1,1,6171,9,3,5,4,16,675,1
0,0,1,0,0,1,0,0,1,0,12303,21,5,1,5,20,875,2
0,1,0,1,0,1,1,0,1,1,7695,21,3,3,11,1,835,1
0,0,0,1,0,1,1,0,1,1,5684,24,6,0,11,1,845,1
0,0,1,0,0,1,0,0,1,0,8366,12,6,2,16,7,905,1
0,0,1,0,1,0,0,1,0,0,19630,1,3,4,11,13,135,0
0,0,1,1,0,0,1,0,0,1,13502,6,3,2,14,5,900,1
0,0,1,1,0,1,0,0,1,0,14781,1,5,2,21,10,775,1
0,1,0,1,0,1,1,0,1,1,6513,12,6,2,7,16,540,1
0,0,1,0,0,1,1,0,1,1,9929,1,6,5,7,19,735,1
0,1,0,1,0,1,1,0,1,1,18275,6,6,3,17,1,460,2
0,0,1,0,0,1,1,0,1,1,4487,9,4,1,6,9,1640,1
0,0,0,1,1,0,1,1,1,0,2754,15,3,4,21,22,85,0
0,0,1,0,1,0,1,1,1,0,2575,27,3,2,6,7,80,0
0,1,0,0,0,1,0,0,1,0,8224,12,6,2,15,21,330,1
0,0,1,0,0,1,1,0,1,1,8991,9,3,5,20,8,705,1
0,0,0,1,0,1,1,0,1,1,5000,24,6,0,5,8,195,0
0,0,1,1,0,1,0,0,1,0,8529,12,6,2,18,19,1495,1
0,0,1,0,0,1,1,0,1,1,14042,3,3,6,6,9,1640,1
0,0,1,1,0,0,1,1,0,1,4030,24,5,4,11,14,175,0
0,0,1,1,0,1,0,0,1,0,10844,6,6,3,18,12,1025,1
0,0,0,1,0,1,0,0,1,0,4804,6,5,0,21,0,160,0
0,1,0,1,0,1,1,0,1,1,7308,27,5,0,17,1,480,1
0,0,0,1,0,0,1,1,0,1,4823,12,5,6,16,19,180,0
0,0,1,1,0,1,1,0,1,1,10262,24,6,0,9,12,1655,1
0,0,1,1,0,1,1,0,1,1,12898,27,5,0,20,4,450,1
0,0,1,0,0,0,1,0,0,1,12778,12,3,1,17,16,1375,2
0,0,0,1,0,1,1,0,1,1,14871,3,3,6,4,13,515,1
0,0,1,0,0,1,1,0,1,1,8708,21,3,3,13,19,1795,2
0,0,1,1,0,1,0,0,1,0,10844,6,6,3,20,18,1335,1
0,1,0,0,1,0,1,1,1,0,4129,6,3,2,5,7,80,0
0,0,0,1,0,1,0,0,1,0,4804,18,5,5,21,0,160,0
0,0,1,1,0,0,1,1,0,1,7229,6,5,0,8,11,180,0
0,0,1,1,0,0,1,0,0,1,7832,21,3,3,7,19,730,1
0,1,0,0,1,0,0,1,0,0,3859,18,3,0,9,12,155,0
0,1,0,1,0,1,1,0,1,1,9001,6,6,3,7,19,705,1
0,1,1,1,0,0,1,1,0,1,4878,9,5,3,17,19,155,0
0,0,0,1,1,0,1,1,1,0,2754,3,5,4,2,4,90,0
0,1,1,1,0,0,1,1,0,1,4668,27,6,3,7,9,160,0
1,0,0,0,0,1,0,0,1,0,5216,12,5,6,10,12,155,0
0,0,1,1,0,1,1,0,1,1,10368,6,6,3,5,4,1375,2
0,0,0,1,0,1,1,0,1,1,8146,9,3,5,6,21,880,2
0,0,1,1,0,1,1,0,1,1,12242,27,3,2,13,4,925,1
0,0,1,1,0,0,1,0,0,1,9134,15,3,4,8,15,435,1
0,0,1,0,0,1,1,0,1,1,10939,6,6,3,13,9,1210,2
0,0,1,0,0,1,1,0,1,1,11753,6,6,3,10,7,1245,2
0,1,0,0,0,1,0,0,1,0,4174,24,4,2,17,19,150,0
0,0,1,1,0,1,0,0,1,0,10844,21,5,1,20,19,1430,1
0,0,1,1,0,1,1,0,1,1,14714,3,6,0,16,19,1620,1
0,0,1,1,0,1,0,0,1,0,9899,12,6,2,6,12,330,1
0,0,0,1,0,1,1,0,1,1,14871,3,3,6,9,21,710,1
0,0,0,1,1,0,0,1,0,0,7295,6,3,2,13,15,135,0
0,0,1,0,0,1,1,0,1,1,13465,6,6,3,18,19,1470,2
0,1,0,0,1,0,0,1,0,0,3543,21,5,1,17,20,140,0
0,1,0,1,0,1,1,0,1,1,7198,27,6,3,19,1,390,1
0,0,1,1,0,1,1,0,1,1,10262,1,6,5,8,4,1225,1
0,0,0,1,0,1,0,0,1,0,4148,15,3,4,15,17,155,0
0,0,1,1,0,0,1,1,0,1,8016,27,6,3,15,18,175,0
0,0,1,1,0,1,1,0,1,1,10262,9,6,6,22,4,335,1
0,1,0,0,0,1,0,0,1,0,3841,15,6,5,14,17,150,0
0,0,1,1,0,0,1,0,0,1,11507,12,3,1,9,0,885,1
0,0,1,1,0,1,0,0,1,0,14781,1,5,2,8,20,740,1
0,0,1,1,0,1,1,0,1,1,16079,27,5,0,17,19,1530,1
0,0,1,1,0,1,1,0,1,1,12898,27,5,0,22,4,335,1
0,1,0,1,0,1,1,0,1,1,15353,6,3,2,7,19,705,1
0,0,0,1,0,0,1,0,0,1,7303,24,3,6,18,21,175,0
0,1,0,0,0,1,0,0,1,0,6197,24,3,6,15,20,340,1
0,0,1,0,0,1,0,0,1,0,8996,9,6,6,9,13,245,1
0,0,0,1,0,1,1,0,1,1,6528,21,3,3,14,22,480,1
0,1,1,0,0,0,1,1,0,1,4239,9,4,1,20,23,165,0
0,0,0,1,0,1,0,0,1,0,4148,12,3,1,20,23,160,0
0,1,0,0,0,0,1,1,0,1,3971,24,5,4,21,0,175,0
1,0,0,0,0,1,0,0,1,0,5192,6,5,0,7,23,955,1
0,0,1,1,0,1,1,0,1,1,9483,9,4,1,13,12,1390,2
0,0,1,1,0,1,1,0,1,1,18804,3,6,0,11,19,440,2
0,0,1,0,0,1,1,0,1,1,5201,18,6,1,5,8,170,0
0,0,1,1,0,1,1,0,1,1,16079,27,5,0,11,19,450,1
0,0,1,1,0,0,1,1,0,1,7229,15,6,5,19,22,180,0
0,1,0,1,0,1,1,0,1,1,6795,27,5,0,17,1,465,1
0,0,1,1,0,1,0,0,1,0,10953,9,5,3,9,10,1520,1
0,1,0,1,0,1,1,0,1,1,15965,24,6,0,15,1,625,2
0,0,1,0,0,1,1,0,1,1,9968,9,4,1,12,19,1820,2
0,0,0,1,0,1,0,0,1,0,4804,6,6,3,22,0,155,0
0,0,1,1,0,1,1,0,1,1,16079,27,5,0,10,19,540,1
0,0,1,1,0,1,1,0,1,1,11507,12,6,2,21,12,910,2
0,0,1,0,0,1,0,0,1,0,11542,9,6,6,9,13,1700,2
0,0,1,1,0,0,1,1,0,1,7229,24,4,2,17,20,180,0
0,0,1,1,0,0,1,1,0,1,4544,27,4,5,6,8,165,0
0,0,0,1,0,1,1,0,1,1,6496,15,5,2,5,10,295,1
0,0,0,1,0,1,0,0,1,0,4804,15,6,5,21,0,160,0
0,0,1,0,0,0,1,0,0,1,13439,1,3,4,11,9,1330,1
0,0,1,1,0,1,1,0,1,1,6540,27,3,2,18,4,610,1
0,0,0,1,0,0,1,1,0,1,4591,1,6,5,23,2,170,0
0,0,0,1,0,0,1,0,0,1,4437,18,3,0,16,20,260,1
1,0,0,0,0,1,1,0,1,1,6151,21,3,3,20,7,660,1
0,0,1,1,0,0,1,1,0,1,7754,21,6,4,17,20,180,0
0,0,1,1,0,1,1,0,1,1,10262,24,6,0,14,12,1355,1
0,0,1,1,0,0,1,1,0,1,8016,9,6,6,18,22,185,0
0,1,0,0,0,1,0,0,1,0,4781,24,3,6,6,9,160,0
0,1,1,1,0,0,1,1,0,1,4668,27,6,3,11,14,170,0
0,0,1,0,0,0,1,0,0,1,14594,6,3,2,11,8,1265,1
0,0,1,1,0,1,0,0,1,0,14231,24,3,6,16,4,710,1
0,0,1,0,0,1,1,0,1,1,8425,15,5,2,5,6,1535,1
0,1,0,1,0,1,1,0,1,1,9646,12,6,2,7,22,925,1
0,0,0,1,1,0,0,1,0,0,7295,3,3,6,14,17,145,0
1,0,0,0,0,1,0,0,1,0,5162,9,4,1,6,10,220,1
0,0,0,1,0,0,1,0,0,1,6860,9,3,5,18,21,175,0
